k1,b,nDCG@10,Recall@100,MRR@10,MAP
0.6,0.3,0.6776127621244822,0.9279999999999999,0.6472791005291005,0.6399079510595889
0.6,0.4,0.6773120056050655,0.9279999999999999,0.6464179894179896,0.6411062105057607
0.6,0.6,0.6799936726792947,0.9246666666666666,0.6480304232804234,0.642265761871348
0.6,0.8,0.6822836710004568,0.9279999999999999,0.6499126984126985,0.6443941054733651
0.9,0.3,0.678568496487767,0.9286666666666668,0.6453214285714285,0.6394301402701035
0.9,0.4,0.6789094274508305,0.9253333333333335,0.6456587301587301,0.640108444963703
0.9,0.6,0.6814028160844463,0.9279999999999999,0.6483849206349206,0.6427152416674062
0.9,0.8,0.6840925252122133,0.9279999999999999,0.6514404761904762,0.6452150493030094
1.2,0.3,0.6801609001128126,0.922,0.6485105820105819,0.6432269525134856
1.2,0.4,0.6803337472865617,0.9275555555555555,0.6487156084656084,0.6436473879598745
1.2,0.6,0.6809610038282444,0.9282222222222223,0.6463029100529102,0.6398723165934628
1.2,0.8,0.6833437496095344,0.9282222222222223,0.6474656084656084,0.6409210594685824
1.5,0.3,0.6820852234642718,0.924888888888889,0.6486693121693122,0.6432204468178694
1.5,0.4,0.6821904262451982,0.924888888888889,0.649478835978836,0.6450583566784287
1.5,0.6,0.6843996535865968,0.9282222222222223,0.6495952380952381,0.6436715883168069
1.5,0.8,0.6889313187904775,0.9282222222222223,0.6548478835978836,0.6490076778334203
1.8,0.3,0.683530968517709,0.9215555555555557,0.6504232804232806,0.6454082727221643
1.8,0.4,0.6856541768690178,0.924888888888889,0.6530396825396827,0.6469101515203871
1.8,0.6,0.6841601012166116,0.9282222222222223,0.6489854497354498,0.6433131947436017
1.8,0.8,0.6902747237441998,0.9282222222222223,0.6557843915343917,0.6494899441356092
